species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp
Calonectris_leucomelas,9.847005e+00,2.721354e+01,1.620638e+03,2.800000e-01,5.900000e+01,7.200000e+02,1.530262e-02,3.105500e+02,False,False,7.477732e+03,9.949900e-01,9.234300e-02,1.930782e+03,1.037000e-13,8.741000e+02,1.406000e+05
Arctictis_binturong,6.422671e+01,2.767295e+02,2.264016e+03,3.000000e-01,3.180000e+02,1.225000e+04,4.770284e-02,3.098500e+02,False,True,9.739247e+03,7.274700e-01,2.389500e-02,1.152784e+03,8.000000e-12,1.243000e+05,4.683000e+07
Erpetoichthys_calabaricus,1.099117e+01,1.266877e+03,4.222924e+03,2.000000e-01,1.192427e-03,6.040000e+01,5.683265e+00,2.991500e+02,False,False,5.482991e+01,9.262000e-01,9.734000e-03,1.703000e+01,6.520000e-10,2.588000e-01,1.094000e+04
Mytilopsis_sallei,1.745599e-01,2.094719e+01,4.684098e+02,9.000000e-02,1.131000e-07,3.194000e-01,9.024651e+01,3.001500e+02,True,False,7.146776e+00,9.991800e-01,8.286700e-02,4.944890e+01,3.164000e-08,1.952000e-07,2.315000e-02
Dissostichus_mawsoni,5.531569e+02,1.929967e+04,9.138925e+04,2.000000e-01,4.770000e-02,1.210000e+05,5.732821e+02,2.744500e+02,True,False,4.042186e+03,4.500000e-01,2.848100e-02,3.790260e+02,6.437000e-08,7.482000e+00,7.184000e+07
Tyrannus_forficatus,2.449740e+00,7.922475e+00,4.927286e+02,2.800000e-01,2.800000e+00,4.300000e+01,6.758285e-02,3.147500e+02,False,False,1.255729e+03,9.723600e-01,4.854400e-02,6.009549e+02,1.066000e-13,2.056000e+02,4.478000e+03
Archosargus_probatocephalus,1.010302e+00,4.572603e+02,7.300000e+03,2.000000e-01,2.680000e-04,1.275000e+04,3.872609e+02,2.931500e+02,True,False,1.808545e+02,9.942500e-01,8.384900e-02,2.311420e+01,1.102000e-09,5.952000e-03,1.828000e+04
Aphanius_fasciatus,8.343224e+00,3.033769e+02,2.903926e+03,2.000000e-01,2.812129e-03,7.460000e+00,1.055812e+00,2.901500e+02,False,False,2.546557e+01,7.608000e-01,3.578400e-02,1.060380e+01,4.851000e-08,2.238000e+00,2.037000e+02
Buphagus_erythrorhynchus,2.572227e+00,1.169345e+01,1.016530e+03,2.800000e-01,3.200000e+00,5.900000e+01,6.307732e-02,3.147500e+02,False,False,1.542006e+03,9.473500e-01,4.035300e-02,7.126989e+02,3.345000e-14,3.305000e+02,9.372000e+03
Macronectes_giganteus,2.404358e+01,3.916714e+01,2.647393e+03,2.800000e-01,2.110000e+02,5.400000e+03,1.775331e-02,3.121500e+02,False,False,7.452854e+03,9.965000e-01,7.490600e-02,1.080320e+03,2.364000e-16,1.652000e+03,2.281000e+05
