species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Troglodytes_musculus,2.858030e+00,3.995097e+02,2.800000e-01,1.950000e+00,1.330000e+01,1.400000e+01,1.576933e-01,3.147500e+02,False,2.080123e+03,1.359000e-01,2.438300e-02,8.459263e-01,1.000000e+00,1.192844e-01,3.298000e+03,7.346900e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Truncilla_truncata,1.458659e+01,9.195766e+03,9.000000e-02,2.910150e-07,2.910150e-01,9.990000e+00,1.826263e+03,2.901500e+02,True,2.361902e+01,1.412000e-02,1.948900e-02,1.010873e-02,9.991213e-01,2.062341e-07,5.518000e+00,2.000000e-03,9.997073e-01,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,train
Trygonoptera_mucosa,2.788574e+02,4.854030e+03,2.000000e-01,7.560000e+01,6.835938e+02,2.198149e+03,3.625853e-03,2.951500e+02,False,2.095982e+02,1.156700e-01,3.120000e-02,2.909018e-01,1.000000e+00,9.683033e-02,3.218000e+05,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Trygonoptera_personata,2.788574e+02,4.854030e+03,2.000000e-01,7.560000e+01,5.323062e+02,1.316010e+03,3.955476e-03,2.951500e+02,False,1.860524e+02,1.744000e-01,2.803300e-02,3.277921e-01,1.000000e+00,1.153475e-01,3.525000e+05,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Trygonorrhina_fasciata,3.143834e+02,8.892692e+03,2.000000e-01,1.139063e+02,2.580693e+03,1.000000e+04,1.549587e-02,2.938500e+02,False,3.385156e+02,1.388900e-01,2.306700e-02,1.667809e-01,1.000000e+00,3.010441e-02,6.896000e+05,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,train
Tunchiornis_ochraceiceps,3.062175e+00,4.438996e+02,2.800000e-01,1.730000e+00,1.102000e+01,1.160000e+01,4.505523e-02,3.147500e+02,False,9.128596e+02,3.486000e-02,3.384400e-02,7.686574e-01,1.000000e+00,1.220588e-01,1.496000e+03,2.753900e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,train
Turdus_eremita,2.755957e+00,7.768243e+02,2.800000e-01,4.600000e+00,8.360000e+01,8.800000e+01,6.758285e-02,3.147500e+02,False,2.000446e+03,2.796000e-02,3.660400e-02,8.368688e-01,1.000000e+00,3.823105e-02,5.540000e+03,3.757000e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,val
Turdus_hauxwelli,2.796786e+00,7.546294e+02,2.800000e-01,6.000000e+00,5.700000e+01,6.000000e+01,5.181352e-02,3.147500e+02,False,1.282452e+03,2.853000e-02,5.705300e-02,7.799434e-01,1.000000e+00,6.948200e-02,7.471000e+03,2.142400e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,train
Turdus_iliacus,2.653885e+00,8.345313e+02,2.800000e-01,2.800000e+00,5.985000e+01,6.300000e+01,2.423971e-01,3.147500e+02,False,1.582253e+03,3.623000e-02,3.794600e-02,6.043637e-01,1.000000e+00,4.440634e-02,4.666000e+03,3.078800e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,test
Turdus_merula,2.653885e+00,9.677012e+02,2.800000e-01,2.900000e+00,9.500000e+01,1.000000e+02,2.027485e-01,3.147500e+02,False,1.875896e+03,1.952000e-02,4.277500e-02,5.980661e-01,1.000000e+00,2.859371e-02,3.847000e+03,3.167900e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,train
