Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Ihlea_punctata,0.153322546776053,0.057533,0.95,0.029656,9000,5.715e-05,0.008061,0.153322546776053,0.057533,0.95,0.029656,9000,5.715e-05,0.008061,1,1,108,22.8829082,0,""
Vermivora_cyanoptera,0.102112528274667,0.858646764793766,0.904646852335472,0.0251438544168996,2148.26896398169,227.160660258605,1328.64389578734,0.102015014814883,0.855207148495045,0.904401365178034,0.0252336137867232,2202.95852070512,225.710652033208,1327.27807431488,0,1,500,24.1011265,0,""
Ophiura_ophiura,0.185910958225732,1.29379982204613,0.9,0.0650276513176814,3.45740964897651,0.000147517003851661,4.69497809330012,0.18072662916773,1.30427615315574,0.9,0.0650768197151324,3.38374536477054,0.000146745142846587,5.09640988045658,1,2,886,37.7322189,0,""
Pavo_cristatus,0.130724226647893,4.35466656979921,0.763559774158417,0.026099796799582,1078.91756777601,18679.3250432149,560994.903567006,0.130700511736705,4.32827331286221,0.761472256924502,0.0259279418244507,1094.14914044642,18734.2023466426,559978.925396287,0,1,500,31.1126879,0,""
Rhombosolea_leporina,0.148747533004712,3.62140673198882,0.562003113053745,0.0173539581689071,163.58252725068,0.138090971488346,31530.5419279244,0.0433110307510064,3.8280922359555,0.488691526593873,0.0347836270572703,29.6131000676525,1.02012487265061,117971.349875039,0,12,6000,205.7514356,0,""
Lepisma_saccharina,0.32309128626727,0.163560733130204,0.889183223455021,0.00403708992771413,116.176065768177,0.101904546907383,2.78023452516468,0.32287676699454,0.163684241339366,0.889789824084689,0.00406347669785417,116.093741132723,0.101754090508852,2.77185061552753,0,2,1000,106.6902907,0,""
Raja_microocellata,0.0941151225378884,27.5230450881091,0.700398367166984,0.101066083791689,17.6780586125502,60444.2867815324,9562335.71459377,0.0941151225378883,27.5230448638517,0.700398365559006,0.101066082497265,17.6780589220683,60444.2864918547,9562335.74346297,1,1,412,15.0819894,0,""
Batagur_affinis,0.0554514552971878,20.4094821549879,0.548096684247831,0.0263119433824056,16.2280778884621,80723.0509960245,157909428.537303,0.0554513632638854,20.4098712388697,0.547861839768546,0.0263177630530645,16.2235645057692,80800.4066461394,158115845.8835,0,1,500,14.4194614,0,""
Calidris_minutilla,0.106484058012093,1.46458939330422,0.88873709067585,0.0261432841615546,745.469125824875,918.116568661412,7869.73653478568,0.106434246956818,1.45967939043136,0.887731729878094,0.0262122476037004,761.102502852421,919.235442759005,7888.72106232552,0,1,500,36.2033677,0,""
Centropus_senegalensis,0.107469251970367,1.92681584446508,0.96198738847735,0.027705936958807,2033.44707864439,415.603778890513,5482.67193519265,0.107001284696635,1.90163965663264,0.962594669175301,0.0273626737410287,2136.22613602886,391.594844018209,5165.51039823716,0,4,2000,127.2310949,0,""
Macroramphosus_scolopax,0.0621818033546717,2.69178066878644,0.85,0.0571250288167822,34.6090539217555,0.242807463756178,2927.34146060347,0.0621818033546704,2.69178065680055,0.85,0.0571250283357622,34.6090546332782,0.242807459025444,2927.34145708373,1,1,342,7.2994686,0,""
Turdus_eremita,0.109895297501598,1.5824734439037,0.964983639728218,0.0280956876387754,2384.36282323304,143.151942197401,3093.11618856976,0.109798528924942,1.57536023789966,0.964929619338061,0.027794735655053,2382.62789101643,142.710048246314,3056.48737382231,0,1,500,28.8548339,0,""
Gadus_chalcogrammus,0.0966708330504998,9.03585116815415,0.842472689775457,0.138002289772467,32.3862402402683,0.504012344001154,309716.272165428,0.095129594772605,7.40280749701829,0.849993855514979,0.149542397340266,31.2715759663396,0.526451508413584,334176.180141951,0,4,2000,99.6748834,0,""
Stercorarius_longicaudus,0.10841374078866,2.17179712503285,0.950253168658865,0.0275327626694823,1967.50394032529,997.69702287991,11132.0009083374,0.108325751420063,2.17160388241274,0.950806049654837,0.0276554198054709,1995.59649417501,977.773977149157,10954.8369449525,0,1,500,25.4364817,0,""
Synodontis_membranaceus,0.0174023875979872,5.1840336965988,0.924053863786729,0.0261203070191796,26.1543588863412,0.101695121391945,15141.5084583083,0.00466132995933362,1.69590193420865,0.930554222983686,0.020288853161312,19.6293650040611,0.14764180565893,22165.2086678979,0,12,6000,182.0425484,0,""
Pangasianodon_hypophthalmus,0.0958795435192775,17.21548609763,0.45,0.10941593092436,25.0737994502634,1.43016993103232,9065333.87146038,0.0958468451861047,16.9634840526308,0.45,0.11113435397505,24.5813291971333,1.47710189695265,9329470.44213429,0,1,500,32.6146899,0,""
Pica_pica,0.110020611351806,2.71548944494592,0.955089439720564,0.0283698709733782,531.85826775371,518.464507256855,17412.1240660808,0.109978073754702,2.7068314651473,0.955361854619758,0.0281009921323639,534.268333835512,509.898668576517,17007.0464297164,0,1,500,36.0935562,0,""
Lanius_collaris,0.107015692557428,1.26128212729627,0.911277329630037,0.028840859018568,2752.217675658,464.49559061484,4276.42887739976,0.106580828632174,1.24648559637367,0.911476114143278,0.0285928707783106,2877.02555582778,446.568373191199,4102.30324628952,0,3,1500,78.7725168,0,""
Anser_anser,0.460500836727804,3.12794323899742,0.976051536257327,0.0244192586221698,7680.58942965199,278.057815635359,13597.9253190138,0.460492719246104,3.12794323899742,0.976051536257327,0.0244192586221698,7680.58942965199,278.057815635359,13597.9253190138,0,1,500,2725.9264227,0,""
Mya_arenaria,0.877738082771145,0.315834118463276,0.816900377989871,0.06338366288431,8.33349777198566,0.00262389906639484,180.107586526683,0.877738082727852,0.315833583797137,0.816900604938036,0.0633833269988315,8.33352111458091,0.00262388757593273,180.107893668635,1,1,253,33.3384095,0,""
Poecile_atricapillus,0.16053457952885,1.12552941136808,0.930613078065748,0.0244435824530546,969.56947063472,98.2754299659204,2019.54019443757,0.160481794313758,1.11931390495008,0.929727089465258,0.02428144230306,983.073944033974,98.931059119076,2032.67524063669,0,1,500,54.5122921,0,""
Morus_serrator,0.099316657848026,5.26667227146227,0.962006687383709,0.0226989383911157,617.102996270049,2753.26281712802,129360.683966762,0.0992919346340998,5.28563095481006,0.961708797842999,0.0228846661579684,613.137168155649,2801.83704011525,132121.410792126,0,1,500,46.4468016,0,""
