species,ab,ap,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,foetus,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp,Wwj,E_Hj,Wwx,E_Hx,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Lacerta_schreiberi,1.225540e+02,3.995120e+02,1.123218e+03,3.000000e-01,7.700000e-01,1.740758e+01,3.020000e+01,1.923046e-01,3.051500e+02,False,False,False,1.156961e+02,8.052100e-01,4.477800e-02,3.108950e+01,3.211000e-10,1.064000e+03,2.713000e+04,,,,,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Coryphaena_hippurus,8.223850e-01,6.647696e+01,8.839378e+02,2.000000e-01,5.331498e-04,3.412159e+01,3.950000e+04,1.131301e+04,3.011500e+02,True,False,False,1.723698e+02,7.867600e-01,2.187800e-02,2.446310e+01,2.221000e-08,3.341000e+00,1.545000e+05,3.412159e-02,2.981000e+02,,,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Ostorhinchus_doederleini,2.317425e+00,3.476138e+01,1.705625e+02,2.000000e-01,3.800000e-04,1.390000e+00,1.530000e+01,5.911142e+01,3.016500e+02,True,False,False,4.688620e+01,9.648000e-01,2.415200e-02,6.958070e+01,2.296000e-07,5.136000e-02,2.645000e+02,1.240000e-02,2.126000e+00,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Podocnemis_unifilis,2.335202e+01,8.925156e+02,1.352032e+04,3.000000e-01,2.190000e+01,2.458000e+03,1.160000e+04,2.070957e-01,3.001500e+02,False,False,False,1.950802e+02,8.490600e-01,5.719300e-02,8.284600e+00,1.326000e-11,1.891000e+04,4.026000e+06,,,,,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True
Hesperoedura_reticulata,1.852514e+01,8.909995e+02,2.399305e+03,3.000000e-01,7.332866e-01,5.567144e+00,7.170000e+00,9.169323e-03,2.981500e+02,False,False,False,5.841400e+01,6.410100e-01,7.519000e-02,2.019740e+01,3.441000e-10,1.840000e+03,2.568000e+04,,,,,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
Cuthona_nana,4.732608e+01,2.602935e+02,2.957880e+02,1.500000e-01,2.145000e-06,1.150653e-02,1.400000e-01,1.081856e+02,2.851500e+02,True,False,False,6.029779e+01,7.195500e-01,2.530900e-03,1.716337e+03,2.901000e-04,8.481000e-04,7.165000e+00,1.438317e-03,1.297000e+00,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Echinotriton_andersoni,2.000000e+01,2.300000e+02,2.984777e+03,2.800000e-01,1.720000e-02,6.370370e-01,1.470000e+01,7.936941e-01,2.931500e+02,False,False,False,8.105899e+02,9.500000e-01,2.074900e-02,6.034956e+02,2.266000e-09,1.238000e+00,2.496000e+03,,5.092000e+02,,,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
Alligator_sinensis,4.234799e+01,1.428109e+03,1.501241e+04,3.000000e-01,3.000000e+01,3.337548e+03,2.390000e+04,9.030378e-02,2.981500e+02,False,False,False,3.062685e+02,8.984100e-01,9.353100e-02,1.100500e+01,2.160000e-11,2.097000e+04,9.102000e+06,,,,,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
Lepidochelys_kempii,2.235670e+01,4.015000e+03,1.761029e+04,3.000000e-01,1.400000e+01,4.490000e+04,4.500000e+04,6.030000e-01,2.931500e+02,False,False,False,7.283207e+02,6.929000e-01,4.241000e-02,2.017000e+01,1.421000e-09,1.324000e+04,3.648000e+07,,,,,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True
Mytilus_californianus,1.182287e+00,4.327169e+02,8.630693e+03,9.000000e-02,7.290000e-08,3.250000e-01,1.000000e+02,2.780773e+04,2.911500e+02,True,False,False,1.078888e+01,9.804600e-01,2.132200e-02,4.844100e+00,1.845000e-09,3.215000e-06,1.586000e+01,2.197000e-07,2.627000e-05,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Eunectes_notaeus,8.117588e+01,4.857246e+02,3.821033e+03,3.000000e-01,1.040000e+02,2.162875e+03,2.900000e+04,2.470536e-01,3.021500e+02,False,False,False,6.854374e+02,6.251300e-01,2.521800e-02,2.533390e+01,3.858000e-10,1.461000e+05,5.541000e+06,,,,,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
Natrix_maura,2.140825e+01,2.222695e+03,1.320772e+04,3.000000e-01,2.550000e+00,1.926693e+01,3.840000e+02,4.997078e-02,2.991500e+02,False,False,False,1.501635e+02,5.644000e-01,5.774800e-02,1.317400e+01,6.348000e-10,1.204000e+04,4.501000e+05,,,,,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
Pyxicephalus_adspersus,1.898303e+00,1.617657e+01,1.642500e+04,2.800000e-01,1.000000e-02,3.000000e+01,8.380000e+02,1.731900e+01,2.981500e+02,False,False,False,2.685548e+03,9.935600e-01,6.513900e-02,5.229716e+02,7.218000e-11,6.580000e-02,4.844000e+02,6.500000e+00,4.081000e+00,,,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
Osmerus_mordax,1.761989e+02,1.189749e+03,7.941767e+03,2.000000e-01,2.200000e-04,9.281250e+01,5.647453e+02,3.966372e+01,2.831500e+02,False,False,False,3.347998e+02,9.521900e-01,2.883700e-02,6.083720e+01,1.398000e-06,1.624000e-02,7.462000e+03,,,,,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
Rhincodon_typus,1.738327e+02,3.843635e+03,1.545180e+04,2.000000e-01,9.180000e+02,3.255759e+06,3.400000e+07,7.766087e-01,3.001500e+02,False,False,False,1.702019e+03,9.422900e-01,1.785400e-02,1.377300e+01,1.717000e-10,1.713000e+04,6.845000e+07,,,,,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Pomatoschistus_minutus,2.130893e+01,7.733130e+02,1.504008e+03,2.000000e-01,2.771000e-04,4.000000e-01,5.720000e+00,6.795176e+00,2.831500e+02,False,False,False,2.641486e+02,8.716900e-01,2.000000e-02,2.026899e+02,5.865000e-06,6.169000e-02,1.752000e+02,,,,,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
Pristiophorus_cirratus,5.860656e+02,1.172131e+03,8.790984e+03,2.000000e-01,8.419961e+02,2.345175e+04,8.500000e+04,8.531469e-03,2.881500e+02,False,False,False,8.040876e+02,8.446000e-01,1.329000e-01,2.053000e+01,2.675000e-08,4.396000e+05,2.604000e+06,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Hynobius_quelpaertensis,5.619807e+01,1.814395e+03,5.860656e+03,2.800000e-01,1.110000e-02,1.757849e+00,2.410000e+00,5.209660e-01,2.881500e+02,False,False,False,1.230763e+02,4.918700e-01,3.710900e-02,5.115130e+01,1.157000e-08,5.463000e+01,1.129000e+04,,1.275000e+02,,,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
Bombina_variegata,7.685384e+00,9.760247e+02,1.872123e+04,2.800000e-01,1.700000e-03,2.239067e+00,1.200000e+01,3.098088e-01,2.901500e+02,False,False,False,6.441964e+01,9.550600e-01,8.882500e-02,2.800520e+01,4.896000e-10,5.305000e-01,3.546000e+02,2.306168e-01,2.158000e+01,,,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True
Rana_macrocnemis,5.243240e+01,3.879998e+03,1.052580e+04,2.800000e-01,4.200000e-03,7.000000e+00,4.000000e+01,2.434968e-01,2.831500e+02,False,False,False,9.021741e+01,9.223200e-01,9.481800e-02,2.660740e+01,3.918000e-08,2.248000e+00,5.527000e+03,,7.649000e+02,,,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True
Eremias_argus,2.421747e+01,1.196349e+03,5.860656e+03,3.000000e-01,4.000000e-01,1.260692e+00,6.800000e+00,8.531469e-03,2.881500e+02,False,False,False,1.035107e+02,4.779400e-01,2.664000e-02,3.007410e+01,2.244000e-08,2.238000e+03,1.104000e+04,,,,,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
Diaphanosoma_excisum,4.435841e-01,1.441648e+00,1.153319e+01,1.700000e-01,1.290346e-05,4.278961e-05,1.676471e-04,5.220633e+00,3.021500e+02,False,False,False,1.301489e+02,7.108400e-01,2.738000e-02,2.195786e+03,3.251000e-05,1.158000e-02,8.478000e-02,,,,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
