species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Lissotriton_helveticus,3.424658e-03,2.117580e-01,9.418490e+03,2.800000e-01,3.461538e-04,3.461538e-04,1.846154e-01,5.200000e+00,3.822269e-01,2.931500e+02,,False,,9.292066e+01,8.674300e-01,7.613700e-02,4.965940e+01,7.304995e+03,1.075000e-08,1.421715e-01,7.792765e-03,1.631000e+03
Oryzias_latipes,2.287613e-03,1.140742e-02,3.042667e+03,2.000000e-01,8.125000e-04,3.432813e-02,2.225000e-01,8.000000e-01,6.193875e+01,2.991500e+02,,False,,1.460752e+02,4.705100e-01,1.055600e-02,3.639773e+02,5.208755e+03,3.281000e-08,2.649246e-02,6.953180e-02,7.155000e+02
Pomacentrus_amboinensis,1.826484e-03,1.342466e-01,1.015032e+03,2.000000e-01,7.571802e-05,1.932115e-03,9.921671e-02,3.830000e+01,1.837183e+01,3.016500e+02,,False,,7.437422e+01,9.845300e-01,5.498100e-02,7.275800e+01,5.220324e+03,7.773000e-10,2.407339e-02,1.410350e-02,3.826000e+02
Poroderma_africanum,5.468037e-02,5.500000e-01,5.283088e+03,2.000000e-01,3.305769e-03,3.305769e-03,4.923077e-01,5.200000e+03,6.795579e-02,2.911500e+02,,False,,4.784331e+02,6.564300e-01,2.788000e-02,3.085260e+01,5.221017e+03,3.257000e-08,1.000000e+00,3.737624e-03,3.232000e+06
Acipenser_ruthenus,5.696823e-04,1.815862e-01,2.254813e+04,2.000000e-01,2.187500e-07,2.187500e-07,4.562500e-02,6.400000e+03,1.842797e+02,2.881500e+02,,False,,2.214462e+02,7.804000e-01,5.178900e-02,1.187580e+01,5.279748e+03,1.871000e-08,1.000000e+00,3.601460e-06,2.740000e+05
Gasterosteus_aculeatus,3.304615e-03,4.178082e-02,2.920000e+03,2.000000e-01,4.736583e-04,4.736583e-04,1.152044e-01,7.213263e+00,4.383562e-01,2.931500e+02,,False,,1.947187e+02,9.844000e-01,7.262000e-02,1.161000e+02,5.224000e+03,3.887000e-09,1.000000e+00,2.346745e-03,7.879000e+01
Chaenocephalus_aceratus,8.219178e-03,3.332192e-01,5.995803e+04,2.000000e-01,4.601227e-05,1.426905e-03,6.482618e-01,9.780000e+02,7.547279e+00,2.721500e+02,,False,,1.068416e+03,2.800800e-01,1.129400e-01,1.486104e+02,5.221554e+03,1.071000e-07,1.889773e-02,8.050485e-04,1.030000e+07
Lagorchestes_hirsutus,3.535513e-02,1.038483e-01,9.384047e+02,3.000000e-01,4.580153e-04,3.816794e-01,9.923664e-01,1.310000e+03,4.107396e-02,3.096500e+02,,True,,6.016192e+02,7.565600e-01,1.607700e-01,4.654950e+01,7.830911e+03,2.361000e-17,6.941015e-04,3.043841e-01,4.790000e+06
Achoerodus_viridis,1.718845e-04,8.571429e-02,1.277500e+04,2.000000e-01,7.233796e-08,7.233796e-08,1.944444e-02,3.600000e+03,9.589041e+03,2.931500e+02,,False,,1.481794e+02,5.215400e-01,9.932900e-02,5.697500e+00,5.238883e+03,2.801000e-10,9.996738e-01,9.874396e-07,3.105000e+05
Scophthalmus_maximus,7.653925e-04,1.173684e-01,4.626884e+04,2.000000e-01,1.212903e-08,2.038202e-05,7.741935e-02,1.550000e+04,6.816682e+03,2.831500e+02,,False,,1.076989e+02,6.681300e-01,4.023800e-02,2.892970e+01,5.221060e+03,3.670000e-09,1.012577e-03,1.061543e-04,3.071000e+06
Gammarus_pulex,1.035249e-01,6.581226e-01,1.082696e+03,1.700000e-01,2.647059e-03,2.647059e-03,9.803922e-02,5.100000e-02,3.183411e-01,2.861500e+02,,False,,4.028563e+01,8.942400e-01,1.776000e-02,3.233844e+02,4.452863e+03,3.032000e-06,2.973224e-02,5.162200e-01,3.545000e+00
Carcharodon_carcharias,3.013699e-02,5.000000e-01,8.313031e+03,2.000000e-01,1.052948e-02,1.052948e-02,1.740975e-01,3.324000e+06,5.052309e-02,2.971500e+02,,False,,2.192341e+03,7.930000e-01,1.176100e-01,2.008000e+01,5.226000e+03,1.822000e-09,1.000000e+00,4.405730e-02,2.583000e+08
Macroramphosus_scolopax,2.968037e-03,2.497717e-01,3.194463e+03,2.000000e-01,1.397059e-05,1.397059e-05,1.139706e-01,2.720000e+01,2.399465e+01,2.891500e+02,,False,,1.096012e+02,8.500000e-01,5.712500e-02,3.460920e+01,5.219094e+03,5.943000e-08,1.000000e+00,8.292350e-05,2.928000e+03
Egernia_cunninghami,3.069038e-03,4.711704e-02,1.243969e+04,3.000000e-01,2.127379e-02,2.127379e-02,5.535421e-01,3.633579e+02,2.765342e-02,2.981500e+02,,False,,4.724682e+02,7.625000e-01,1.183700e-02,8.437130e+01,7.779352e+03,1.845000e-10,1.000000e+00,1.303177e-02,3.714000e+05
Pelophylax_porosus,8.460528e-04,2.865603e-01,4.102459e+03,2.800000e-01,6.720000e-05,3.200000e-02,3.120000e-01,6.250000e+01,8.531469e+00,2.881500e+02,,False,,3.210265e+02,6.616400e-01,4.679100e-02,6.841590e+01,7.316836e+03,7.317000e-08,1.717438e-03,5.637273e-02,8.199000e+04
