species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,kap,v,p_M,E_Hb,E_Hp,k_J,s_M,E_Hbj,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Aeronautes_saxatalis,4.899480e+00,6.122488e+02,2.800000e-01,1.700000e+00,4.275000e+01,4.500000e+01,7.023288e-02,3.112500e+02,False,7.039033e+01,9.575875e-01,3.919473e-02,2.054267e+01,4.599528e+02,4.520467e+03,8.422038e-04,1.000000e+00,4.599528e+02,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,val
Aethaloperca_rogaa,2.443212e+00,5.528988e+03,2.000000e-01,2.300000e-04,6.250000e+02,3.557000e+03,3.868701e+03,3.010500e+02,True,2.722428e+01,9.458932e-01,1.826114e-02,6.854462e+00,5.248639e-02,3.116601e+05,3.939885e-04,3.990868e+00,3.364841e+00,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,test
Aethia_cristatella,6.940930e+00,5.203785e+02,2.800000e-01,2.950000e+01,2.726500e+02,2.870000e+02,2.075413e-02,3.138500e+02,False,3.869540e+03,9.571269e-01,1.969405e-02,1.776122e+03,9.187344e+02,8.438735e+03,7.291827e-02,1.000000e+00,9.187344e+02,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,train
Aethia_psittacula,7.247147e+00,7.227479e+02,2.800000e-01,2.810000e+01,2.593500e+02,2.730000e+02,2.075413e-02,3.138500e+02,False,1.606137e+03,9.649904e-01,2.615147e-02,5.235395e+02,1.682472e+03,1.836899e+04,2.143119e-02,1.000000e+00,1.682472e+03,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,train
Aethia_pusilla,6.124350e+00,3.902838e+02,2.800000e-01,1.230000e+01,8.740000e+01,9.200000e+01,2.075413e-02,3.138500e+02,False,1.003412e+03,9.586713e-01,2.823469e-02,3.985369e+02,1.262259e+03,1.202292e+04,1.633004e-02,1.000000e+00,1.262259e+03,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,test
Aethia_pygmaea,7.247147e+00,7.227479e+02,2.800000e-01,1.600000e+01,1.130500e+02,1.190000e+02,2.075413e-02,3.138500e+02,False,1.323717e+03,8.919301e-01,2.293677e-02,5.175203e+02,3.417401e+03,3.223840e+04,2.123707e-02,1.000000e+00,3.417401e+03,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,train
Aethotaxis_mitopteryx,7.006655e+02,8.802589e+04,2.000000e-01,1.400000e-02,4.300000e+01,2.830000e+02,1.226912e+00,2.740500e+02,True,1.441468e+03,7.351989e-01,2.367029e-02,5.603782e+02,2.472773e+00,5.127870e+04,2.000000e-03,1.432512e+00,7.819607e+00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,train
Aetobatus_flagellum,1.306304e+02,3.300262e+03,2.000000e-01,6.247945e+02,7.915963e+03,1.390000e+04,2.302847e-02,3.013500e+02,False,3.946056e+02,7.006142e-01,2.801758e-02,1.415798e+01,4.113801e+05,1.084651e+07,2.000000e-03,1.000000e+00,4.113801e+05,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Aetobatus_narinari,1.543993e+02,3.732414e+04,2.000000e-01,1.245494e+03,2.474276e+04,1.300000e+05,2.164819e-02,3.006500e+02,False,6.482889e+02,8.957281e-01,3.304651e-02,1.982708e+01,1.999967e+05,6.392043e+06,2.000000e-03,1.000000e+00,1.999967e+05,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Aetomylaeus_bovinus,4.365015e+02,6.648354e+03,2.000000e-01,9.661323e+02,9.090126e+03,1.160000e+05,1.263471e-02,2.903500e+02,False,6.565544e+02,9.122095e-01,6.625046e-02,1.810110e+01,8.568386e+04,1.586881e+06,2.000000e-03,1.000000e+00,8.568386e+04,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
